name,fixed,values
地方公共団体コード,"false",
地方公共団体コード6桁,"false",
地方公共団体名,"false",
都道府県名,"true",北海道;青森県;岩手県;宮城県;秋田県;山形県;福島県;茨城県;栃木県;群馬県;埼玉県;千葉県;東京都;神奈川県;新潟県;富山県;石川県;福井県;山梨県;長野県;岐阜県;静岡県;愛知県;三重県;滋賀県;京都府;大阪府;兵庫県;奈良県;和歌山県;鳥取県;島根県;岡山県;広島県;山口県;徳島県;香川県;愛媛県;高知県;福岡県;佐賀県;長崎県;熊本県;大分県;宮崎県;鹿児島県;沖縄県
都道府県名または市町村名,"false",
状態,"true",提出済;未提出;未確認
Q1【回答対象：全団体】オープンデータについて、どの程度ご存知ですか。当てはまるものを１つ選択してください。,"true",;名前は知っている;知っているが詳細は分からない;知らない;良く知っている
Q2【回答対象：全団体】オープンデータについて、組織全体での認知度（知っている、知っているが詳細は分からない）はどの程度でしょうか？おおよその判断で構いませんので割合を1つ選択してください。,"true",;10%未満;100%;30%;50%;80%;よく分からない
Q3【回答対象：全団体】貴団体はオープンデータに取り組んでいますか？,"true",;取組んでいない;取組んでいる
Q4【回答対象：まだオープンデータに取り組んでいない団体のみ】オープンデータの公開開始予定時期について、当てはまるものを１つ選択してください。,"true",;2024年度中(令和6年度中);2025年度中(令和7年度中);未計画
Q5【回答対象：まだオープンデータに取り組んでいない団体、かつ上記設問で「未計画」を選択した場合のみ】その理由を具体的にお答えください。,"false",
Q6【回答対象：全団体】貴団体のオープンデータの更新頻度について、当てはまるものを１つ選択してください。,"true",;ほとんど更新していない;よく分からない;オープンデータに取組んでいない;リアルタイム（1日に複数回）で更新を行っているデータがある;不定期（年に数回）で更新を行っているオープンデータがある;定期的更新（週1、月1など）を行っているオープンデータがある
Q7【回答対象：全団体】オープンデータとして公開されているファイル数について、当てはまるものを１つ選択してください。,"true",;10000以上;1001～5000;101～500;10以下;11～50;5001～10000;501～1000;51～100;よく分からない;オープンデータに取組んでいない
Q8【回答対象：全団体】オープンデータ作成の現状として当てはまるものを選択してください。（該当するものをすべて選択してください）,"false",
Q9【回答対象：上記設問で「その他」を選択した場合のみ】具体的な内容をご記載ください。,"false",
Q10【回答対象：全団体】貴団体における過去4年間（令和3年度以降）に生まれたオープンデータ利活用事例において、当てはまるものを全て選択してください。,"false",
